state,x,y
Andhra Pradesh,-70.0,-160.0
Arunachal Pradesh,160.0,103.0
Assam,150.0,55.0
Bihar,53.0,46.0
Chhattisgarh,-15.0,-46.0
Goa,-155.0,-153.0
Gujarat,-184.0,-9.0
Haryana,-110.0,100.0
Himachal Pradesh,-90.0,150.0
Jammu & Kashmir,-155.0,189.0
Jharkhand,27.0,2.0
Karnataka,-140.0,-160.0
Kerala,-110.0,-233.0
Madhya Pradesh,-95.0,-8.0
Maharashtra,-117.0,-68.0
Manipur,182.0,25.0
Meghalaya,125.0,40.0
Mizoram,169.0,-1.0
Nagaland,190.0,61.0
Odisha,34.0,-60.0
Punjab,-120.0,130.0
Rajasthan,-153.0,56.0
Sikkim,90.0,83.0
Tamil Nadu,-80.0,-230.0
Telangana,-65.0,-100.0
Tripura,130.0,15.0
Uttar Pradesh,-40.0,60.0
Uttarakhand,-55.0,115.0
West Bengal,80.0,-7.0
Ladakh,-89.0,200.0